Name,url
"Azadian, Gholam-Abbas",https://www.cpso.on.ca/DoctorDetails/GholamAbbas-Azadian/0057730-69318
"Aziz, Mariam",https://www.cpso.on.ca/DoctorDetails/Mariam-Aziz/0221275-82509
"Aziz, Muhammed Shahid",https://www.cpso.on.ca/DoctorDetails/Muhammed-Shahid-Aziz/0036127-50103
"Azouaou, Nassima",https://www.cpso.on.ca/DoctorDetails/Nassima-Azouaou/0313699-111532
"Babani, Prakash Kishor",https://www.cpso.on.ca/DoctorDetails/Prakash-Kishor-Babani/0280468-98766
"Babiak, Taras",https://www.cpso.on.ca/DoctorDetails/Taras-Babiak/0027270-32093
"Badoe, Kwame Ebule",https://www.cpso.on.ca/DoctorDetails/Kwame-Ebule-Badoe/0036131-50107
"Bagheri, Aghdas",https://www.cpso.on.ca/DoctorDetails/Aghdas-Bagheri/0036130-50106
"Bai, Shari",https://www.cpso.on.ca/DoctorDetails/Shari-Bai/0273517-95348
"Baici, Wayne Cliffton Verlint",https://www.cpso.on.ca/DoctorDetails/Wayne-Cliffton-Verlint-Baici/0232724-84262
"Bail, Monte Howell",https://www.cpso.on.ca/DoctorDetails/Monte-Howell-Bail/0041055-55031
"Baines, Alexandra Sawczenko",https://www.cpso.on.ca/DoctorDetails/Alexandra-Sawczenko-Baines/0220686-96939
"Bains, Ravinder Pal Singh",https://www.cpso.on.ca/DoctorDetails/Ravinder-Pal-Singh-Bains/0279716-98221
"Bajaj, Neeraj",https://www.cpso.on.ca/DoctorDetails/Neeraj-Bajaj/0292570-104013
"Bajramovic, Hifzija",https://www.cpso.on.ca/DoctorDetails/Hifzija-Bajramovic/0021479-26267
"Baker, Brian",https://www.cpso.on.ca/DoctorDetails/Brian-Baker/0028081-32904
"Bakht, Muhammod Murad",https://www.cpso.on.ca/DoctorDetails/Muhammod-Murad-Bakht/0048948-62926
"Bakish, David",https://www.cpso.on.ca/DoctorDetails/David-Bakish/0036133-50109
"Baksh, Anton Daryl",https://www.cpso.on.ca/DoctorDetails/Anton-Daryl-Baksh/0220842-82107
"Bakshi, Shameet Neely",https://www.cpso.on.ca/DoctorDetails/Shameet-Neely-Bakshi/0210010-80752
"Balaban, Kayli Shira",https://www.cpso.on.ca/DoctorDetails/Kayli-Shira-Balaban/0210564-80995
"Balchand, Kamlesh",https://www.cpso.on.ca/DoctorDetails/Kamlesh-Balchand/0180384-82242
"Balderson, Kenneth Earle",https://www.cpso.on.ca/DoctorDetails/Kenneth-Earle-Balderson/0048332-62310
"Baldock, Jane Susan",https://www.cpso.on.ca/DoctorDetails/Jane-Susan-Baldock/0042483-56461
"Bali, Neena",https://www.cpso.on.ca/DoctorDetails/Neena-Bali/0030520-42500
"Ballon, Bruce Conrad",https://www.cpso.on.ca/DoctorDetails/Bruce-Conrad-Ballon/0052488-66452
"Ballou, Eloise",https://www.cpso.on.ca/DoctorDetails/Eloise-Ballou/0280388-98734
"Balmaceda, Rufino Bringas",https://www.cpso.on.ca/DoctorDetails/Rufino-Bringas-Balmaceda/0030456-42436
"Baluyut, Crystal Anne",https://www.cpso.on.ca/DoctorDetails/Crystal-Anne-Baluyut/0191075-77903
"Bami, Harmeet Kaur",https://www.cpso.on.ca/DoctorDetails/Harmeet-Kaur-Bami/0053438-67404
"Banik, Tapan Kanti",https://www.cpso.on.ca/DoctorDetails/Tapan-Kanti-Banik/0046026-60004
